里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
59.86 	长BHG1-1	3.81 	6.09 	0.06 
700.79 	长BHG1-2	3.74 	3.38 	-0.40 
1546.84 	长BHG1-3	4.83 	3.70 	-0.10 
2512.13 	长BHG1-4	3.27 	3.93 	-1.39 
3329.26 	长BHG1-5	3.08 	2.94 	-0.51 
4125.93 	长BHG1-6	3.23 	3.08 	-1.31 
5101.21 	长BHG1-7	2.94 	3.43 	-0.39 
5989.17 	长BHG1-8	3.30 	3.47 	-1.00 
6380.83 	长BHG2-3	3.50 	3.95 	-0.33 
6786.74 	长BHG2-4	3.78 	3.37 	-0.23 
7065.48 	长BHG2-5	3.26 	3.07 	-0.39 
8595.40 	长BHG2-6	3.39 	2.80 	-0.08 
9297.00 	长BHG2-7	4.13 	3.20 	0.43 
9894.51 	长BHG2-8	5.72 	5.76 	-1.19 
10095.52 	长BHG2-9	2.85 	2.86 	-1.29 
10220.14 	长BHG2-10	3.12 	3.68 	-1.15 
11354.02 	长BHG2-11	3.75 	3.65 	-0.81 
12093.34 	长BHG2-12	3.41 	3.18 	-0.23 
12954.86 	长BHG2-13	3.93 	3.66 	-0.03 
13761.77 	长BHG2-14	3.74 	3.60 	0.01 
14683.54 	长BHG2-15	3.67 	4.09 	0.04 
15380.76 	长BHG2-16	3.59 	4.09 	-0.14 
15634.17 	长BHG2-17	3.76 	3.91 	-0.38 
16294.37 	长BHG2-18	3.02 	4.12 	-0.38 
17532.85 	长BHG2-19	3.69 	3.66 	-1.52 
18362.83 	长BHG2-20	3.86 	3.44 	-0.36 
19332.25 	长BHG2-21	4.78 	3.85 	-0.06 
20408.60 	长BHG2-22	4.65 	3.14 	-0.58 
21280.81 	长BHG2-23	3.49 	3.28 	-0.09 
21943.67 	长BHG2-24	2.31 	3.49 	0.29 
22334.33 	长BHG2-25	4.12 	3.88 	0.25 
23282.46 	长BHG2-26	4.13 	4.44 	-0.77 
