断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,常丰涧,,,,,
长BTG-1,26.4804,2.99,4.04,1.7,堰坝1,堰坝
长BTG-2,561.2968000000001,3.78,3.61,-0.75,堰坝2、桥梁1,堰坝、阻水桥梁
长BTG-3,1022.9823000000001,3.48,4.2,-1.19,秋龙港,河道
长BTG-4,1560.4236,3.62,3.38,0.03,桥梁2,阻水桥梁
长BTG-5,2556.7074000000002,3.43,3.82,0.14,,
长BTG-6,3281.2838,3.16,3.77,0.01,,
长BTG-7,4117.9361,4.22,3.22,-0.47,,
长BTG-8,4724.3826,7.85,3.89,-0.65,,
长BTG-9,5415.534,4.39,4.02,-0.46,夹浦港,河道
长BTG-10,6279.0996,3.36,4.11,-1.17,水闸1,水闸
长BTG-11,6940.3776,3.19,4.15,-0.26,沉渎港,
长BTG-12,7453.0857,3.81,4.35,-0.24,桥梁3,阻水桥梁
长BTG-13,8037.1129,4.9,3.88,-0.12,,
长BTG-14,8606.0947,4.45,3.35,-0.23,桥梁4,阻水桥梁
长BTG-15,9362.0033,1.74,3.55,-0.54,,
长BTG-16,9938.5683,4.45,4.37,0.05,水闸2、合溪新港,水闸、河道
长BTG-17,10117.556600000002,7.97,6.08,0.06,水闸3,水闸
长BTG-18,10276.933500000001,4.56,5.33,-0.11,,
长BTG-19,11169.808900000002,4.41,3.76,-0.15,,
长BTG-20,11988.574200000003,4.67,3.91,-0.93,,
长BTG-21,12577.581000000002,3.55,4.04,-0.25,圣旨庙港,河道
长BTG-22,13276.371800000003,4.56,3.89,-1.17,,
长BTG-23,13946.565600000002,4.93,4.36,-0.14,桥梁5,阻水桥梁
长BTG-24,14487.823200000003,5.14,4.19,-0.38,桥梁6,阻水桥梁
长BTG-25,15026.867800000002,5.54,5.86,-0.8,水闸4,水闸
终点,长兴港,,,,,
