里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
26.48 	长BTG-1	2.99 	4.04 	1.70 
561.30 	长BTG-2	3.78 	3.61 	-0.75 
1022.98 	长BTG-3	3.48 	4.20 	-1.19 
1560.42 	长BTG-4	3.62 	3.38 	0.03 
2556.71 	长BTG-5	3.43 	3.82 	0.14 
3281.28 	长BTG-6	3.16 	3.77 	0.01 
4117.94 	长BTG-7	4.22 	3.22 	-0.47 
4724.38 	长BTG-8	7.85 	3.89 	-0.65 
5415.53 	长BTG-9	4.39 	4.02 	-0.46 
6279.10 	长BTG-10	3.36 	4.11 	-1.17 
6940.38 	长BTG-11	3.19 	4.15 	-0.26 
7453.09 	长BTG-12	3.81 	4.35 	-0.24 
8037.11 	长BTG-13	4.90 	3.88 	-0.12 
8606.09 	长BTG-14	4.45 	3.35 	-0.23 
9362.00 	长BTG-15	1.74 	3.55 	-0.54 
9938.57 	长BTG-16	4.45 	4.37 	0.05 
10117.56 	长BTG-17	7.97 	6.08 	0.06 
10276.93 	长BTG-18	4.56 	5.33 	-0.11 
11169.81 	长BTG-19	4.41 	3.76 	-0.15 
11988.57 	长BTG-20	4.67 	3.91 	-0.93 
12577.58 	长BTG-21	3.55 	4.04 	-0.25 
13276.37 	长BTG-22	4.56 	3.89 	-1.17 
13946.57 	长BTG-23	4.93 	4.36 	-0.14 
14487.82 	长BTG-24	5.14 	4.19 	-0.38 
15026.87 	长BTG-25	5.54 	5.86 	-0.80 
