河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
长洪港,长CHG-1,3431704.339,493864.221,3431662.447,493851.225
长洪港,长CHG-2,3431605.293,494299.173,3431534.765,494260.095
长洪港,长CHG-3,3431254.595,495015.177,3431187.921,494991.498
长洪港,长CHG-4,3430599.279,495885.677,3430556.504,495840.779
长洪港,长CHG-5,3429953.816,496737.839,3429882.783,496706.903
长洪港,长CHG-6,3429852.902,497387.51,3429799.36,497408.248
长洪港,长CHG-7,3430167.97,497698.177,3429851.892,497721.139
长洪港,长CHG-8,3429990.047,498068.125,3429905.13,498066.712
长洪港,长CHG-9,3430177.969,498610.221,3430110.563,498611.138
长洪港,长CHG-10,3430027.623,499541.984,3429968.281,499521.969
