河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
合溪新港,长HXXG-1,3434773.311,484196.921,3434703.436,484214.758
合溪新港,长HXXG-2,3434971.866,484809.53,3434891.12,484817.023
合溪新港,长HXXG-3,3435053.062,485603.171,3434992.356,485609.156
合溪新港,长HXXG-4,3435373.296,486495.647,3435279.005,486530.693
合溪新港,长HXXG-5,3435697.997,487136.026,3435648.157,487167.303
合溪新港,长HXXG-6,3435872.162,487675.756,3435783.093,487702.888
合溪新港,长HXXG-7,3436066.821,488457.442,3435975.142,488484.879
合溪新港,长HXXG-8,3436112.062,489301.438,3436034.539,489307.4
合溪新港,长HXXG-9,3436161.843,490320.06,3436090.67,490316.596
合溪新港,长HXXG-10,3435994.064,491408.612,3435933.495,491407.903
合溪新港,长HXXG-11,3436076.157,492531.066,3436010.421,492535.241
合溪新港,长HXXG-12,3436130.34,493313.881,3436077.942,493332.638
合溪新港,长HXXG-13,3436868.9,494691.778,3436791.699,494725.421
合溪新港,长HXXG-14,3437010.74,495089.165,3436660.078,495075.374
合溪新港,长HXXG-15,3436888.622,495434.225,3436824.35,495428.118
合溪新港,长HXXG-16,3436975.605,496470.092,3436907.203,496489.26
合溪新港,长HXXG-17,3437121.869,497464.109,3437033.313,497470.481
合溪新港,长HXXG-18,3437318.709,498157.246,3437255.824,498173.559
