断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,合溪涧,,,,,
长HXXG-1,144.67,5.87,5.86,-2.42,,
长HXXG-2,790.0699999999999,9.17,7.97,-2.02,,
长HXXG-3,1588.51,5.06,7.03,-2.08,,
长HXXG-4,2557.5,4.93,7.4,-1.83,,
长HXXG-5,3487.37,5.31,4.87,-2.3,,
长HXXG-6,4048.5699999999997,7.69,11.19,-0.87,,
长HXXG-7,4854.469999999999,6.27,7.63,-0.62,长桥涧,河道
长HXXG-8,5689.529999999999,5.63,5.62,-1.21,,
长HXXG-9,6705.949999999999,5.56,5.28,-1.13,,
长HXXG-10,7809.459999999999,5.38,4.26,-0.7,北塘港,河道
长HXXG-11,8937.31,4.53,4.58,-2.28,,
长HXXG-12,9763.21,4.1,4.43,-2.31,,
长HXXG-13,11356.63,3.95,2.87,-1.68,北横港,河道
长HXXG-14,11751.449999999999,3.66,3.62,-0.95,,
长HXXG-15,12100.659999999998,3.91,4.89,-2.23,,
长HXXG-16,13178.959999999997,9.45,4.25,-1.79,北横港,河道
长HXXG-17,14178.779999999997,3.34,3.58,-1.75,,
长HXXG-18,14912.859999999997,5.0,4.86,-1.26,,
终点,太湖,,,,,
