里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
144.67	长HXXG-1	5.87	5.86	-2.42
790.07 	长HXXG-2	9.17	7.97	-2.02
1588.51 	长HXXG-3	5.06	7.03	-2.08
2557.50 	长HXXG-4	4.93	7.4	-1.83
3487.37 	长HXXG-5	5.31	4.87	-2.3
4048.57 	长HXXG-6	7.69	11.19	-0.87
4854.47 	长HXXG-7	6.27	7.63	-0.62
5689.53 	长HXXG-8	5.63	5.62	-1.21
6705.95 	长HXXG-9	5.56	5.28	-1.13
7809.46 	长HXXG-10	5.38	4.26	-0.7
8937.31 	长HXXG-11	4.53	4.58	-2.28
9763.21 	长HXXG-12	4.1	4.43	-2.31
11356.63 	长HXXG-13	3.95	2.87	-1.68
11751.45 	长HXXG-14	3.66	3.62	-0.95
12100.66 	长HXXG-15	3.91	4.89	-2.23
13178.96 	长HXXG-16	9.45	4.25	-1.79
14178.78 	长HXXG-17	3.34	3.58	-1.75
14912.86 	长HXXG-18	5	4.86	-1.26
