河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
圣旨庙港,长SZMG-1,3433747.246,491650.886,3433705.054,491657.846
圣旨庙港,长SZMG-2,3433766.387,492187.412,3433735.82,492192.824
圣旨庙港,长SZMG-3,3433800.163,492666.46,3433714.817,492657.978
圣旨庙港,长SZMG-4,3433988.1,493338.493,3433941.131,493373.981
圣旨庙港,长SZMG-5,3434327.116,494243.406,3434251.748,494262.858
圣旨庙港,长SZMG-6,3434398.096,494641.741,3434148.373,494678.493
圣旨庙港,长SZMG-7,3434535.82,494976.579,3434446.583,494988.089
圣旨庙港,长SZMG-8,3434573.531,495313.393,3434528.984,495317.985
圣旨庙港,长SZMG-9,3434637.611,495767.17,3434589.954,495772.633
