里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
74.8357	长YJPG-1	5.13	4.72	-2.21
978.7907	长YJPG-2	5.14	4.53	-1.93
1621.7593	长YJPG-3	4.52	4.84	-2.16
2336.0202	长YJPG-4	4.5	5.87	-2.08
2576.3523	长YJPG-5	3.97	4.44	-1.99
3084.3998	长YJPG-6	4.42	4.08	-2.06
3507.0561	长YJPG-7	4.99	4.4	-2.27
4498.7085	长YJPG-8	4.21	4.85	-2.12
5207.1548	长YJPG-9	4.09	4.45	-1.87
5419.0245	长YJPG-10	6	3.04	-2.25
5915.5679	长YJPG-11	4.21	4.56	-1.81
6554.7956	长YJPG-12	4.06	5.24	-2.29
7021.4478	长YJPG-13	4.73	4.06	-2.03
7376.4202	长YJPG-14	4.26	4.06	-2.46
8009.3615	长YJPG-15	4.78	4.22	-2.28
9383.7822	长YJPG-16	3.27	4.8	-2.14
10292.4862	长YJPG-17	4.19	4.76	-2.95
10772.8324	长YJPG-18	4.02	4.76	-2.43
11738.0625	长YJPG-19	3.47	3.08	-2.31
13065.9721	长YJPG-20	4.45	3.84	-2.69
14001.1852	长YJPG-21	4.6	4.58	-2.59
14588.668	长YJPG-22	3.57	4.53	-2.6
15214.3273	长YJPG-23	5.52	5.78	-2.33
