河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
杨家浦港,长YJPG-1,3424362.887,492491.606,3424252.729,492497.661
杨家浦港,长YJPG-2,3424556.717,493363.265,3424436.437,493389.403
杨家浦港,长YJPG-3,3424704.233,493986.538,3424601.149,494014.537
杨家浦港,长YJPG-4,3424874.958,494680.999,3424768.184,494706.292
杨家浦港,长YJPG-5,3424907.072,494923.515,3424800.14,494938.077
杨家浦港,长YJPG-6,3424708.183,495347.105,3424627.999,495380.152
杨家浦港,长YJPG-7,3424722.457,495789.57,3424617.063,495777.757
杨家浦港,长YJPG-8,3425188.547,496474.097,3425116.747,496546.163
杨家浦港,长YJPG-9,3425727.007,496925.873,3425661.828,496997.264
杨家浦港,长YJPG-10,3425850.846,497066.201,3425802.547,497190.366
杨家浦港,长YJPG-11,3426268.283,496900.604,3426296.743,496992.361
杨家浦港,长YJPG-12,3426792.242,496557.564,3426825.236,496631.761
杨家浦港,长YJPG-13,3427276.947,496580.33,3427248.488,496670.963
杨家浦港,长YJPG-14,3427645.983,496644.741,3427574.71,496780.788
杨家浦港,长YJPG-15,3427961.399,497265.37,3427851.216,497298.216
杨家浦港,长YJPG-16,3428390.05,498542.446,3428290.689,498551.008
杨家浦港,长YJPG-17,3428891.851,499117.672,3428856,499203.581
杨家浦港,长YJPG-18,3429327.878,499307.796,3429271.494,499388.933
杨家浦港,长YJPG-19,3430139.064,499764.087,3430100.041,499860.262
杨家浦港,长YJPG-20,3431120.955,500662.354,3431038.802,500796.021
杨家浦港,长YJPG-21,3432012.66,500780.201,3432003.928,500893
杨家浦港,长YJPG-22,3432578.006,500853.992,3432557.761,500984.58
杨家浦港,长YJPG-23,3433187.625,500990.818,3433099.758,501167.824
