断面名称,长BHG-1, , .1,测量水位,1.14
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.81,0
2, , , ,3.5,5.43
3, , , ,1.6,8.5
4, , , ,1.34,10.25
5, , , ,1.17,10.82
6, , , ,0.62,11.42
7, , , ,0.24,12.44
8, , , ,0.07,14.07
9, , , ,0.08,14.1
10, , , ,0.06,16.57
11, , , ,0.57,19.54
12, , , ,1.29,20.86
13, , , ,2.33,24.22
14, , , ,2.79,24.49
15, , , ,6.09,24.68
16, , , ,6.07,24.81
17, , , ,3.81,24.96
18, , , ,3.79,28.7
断面名称,长BHG-2, , ,测量水位,1.15
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.46,0
2, , , ,3.52,4.35
3, , , ,3.33,12.63
4, , , ,3.72,13.22
5, , , ,3.74,13.77
6, , , ,1.79,13.99
7, , , ,1.42,14.24
8, , , ,0.97,15.45
9, , , ,0.5,15.81
10, , , ,-0.01,16.99
11, , , ,-0.4,18.99
12, , , ,-0.36,20.86
13, , , ,-0.13,22.71
14, , , ,0.56,24.62
15, , , ,0.97,25.82
16, , , ,1.42,29.45
17, , , ,1.53,29.6
18, , , ,3.38,30.08
断面名称,长BHG-3, , ,测量水位,1.16
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.85,0
2, , , ,4.83,8.57
3, , , ,1.63,9.15
4, , , ,1.08,10.09
5, , , ,1.26,10.66
6, , , ,0.37,12.59
7, , , ,-0.1,15.48
8, , , ,0.05,19.57
9, , , ,1.02,21.67
10, , , ,1.46,21.89
11, , , ,1.76,22.77
12, , , ,3.7,24.1
13, , , ,3.56,33.8
断面名称,长BHG-4, , ,测量水位,1.12
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.3,0
2, , , ,3.06,0.56
3, , , ,2.99,0.65
4, , , ,3.27,15.12
5, , , ,0.9,17.7
6, , , ,-0.69,20.27
7, , , ,-0.69,20.27
8, , , ,-0.79,29.57
9, , , ,-0.89,39.57
10, , , ,-0.89,39.57
11, , , ,-1,43.89
12, , , ,-1.39,50.84
13, , , ,-1.39,50.84
14, , , ,-1.38,54.83
15, , , ,-1.3,66.14
16, , , ,-1.21,72.11
17, , , ,-1.21,72.11
18, , , ,-1.03,79.05
19, , , ,-0.66,85.36
20, , , ,-0.66,85.36
21, , , ,1.96,89.83
22, , , ,3.93,92.59
23, , , ,3.95,103.74
断面名称,长BHG-5, , ,测量水位,1.11
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.55,0
2, , , ,3.36,0.42
3, , , ,3.38,0.86
4, , , ,3.31,5.34
5, , , ,3,6.45
6, , , ,2.47,7.11
7, , , ,2.17,14.14
8, , , ,2.17,14.14
9, , , ,2.24,21.07
10, , , ,3.08,21.62
11, , , ,3.05,25.53
12, , , ,2.41,27.24
13, , , ,2.33,28.32
14, , , ,0.98,29.1
15, , , ,0.85,33
16, , , ,0.8,36.79
17, , , ,0.5,39.35
18, , , ,0.21,42.54
19, , , ,0,46.31
20, , , ,-0.13,49.25
21, , , ,-0.21,53.99
22, , , ,-0.51,61.09
23, , , ,-0.41,65.46
24, , , ,0.69,74.01
25, , , ,1.11,83.67
26, , , ,2.42,84.37
27, , , ,2.49,93.87
28, , , ,2.94,105.27
29, , , ,2.7,106.83
断面名称,长BHG-6, , ,测量水位,1.14
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.23,0
2, , , ,3.18,7.92
3, , , ,2.89,10.42
4, , , ,1.15,12.87
5, , , ,0.11,14.71
6, , , ,-0.33,18.13
7, , , ,-0.33,18.13
8, , , ,-0.73,23.72
9, , , ,-0.73,23.72
10, , , ,-1.31,30.69
11, , , ,-1.31,30.69
12, , , ,-0.9,36.16
13, , , ,-0.9,36.16
14, , , ,-0.67,42.79
15, , , ,-0.67,42.79
16, , , ,-0.03,46.8
17, , , ,0.3,50.78
18, , , ,1.04,53.61
19, , , ,1.46,54.12
20, , , ,2.72,55.77
21, , , ,3.08,58.68
断面名称,长BHG-7, , ,测量水位,1.11
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.86,0
2, , , ,2.94,7.07
3, , , ,2.51,13.71
4, , , ,1.7,14.53
5, , , ,1.4,16.89
6, , , ,1.16,18.2
7, , , ,0.88,22.43
8, , , ,-0.29,26.77
9, , , ,-0.3,30
10, , , ,-0.34,34.13
11, , , ,-0.39,38.51
12, , , ,-0.21,42.13
13, , , ,0.68,45.53
14, , , ,1.26,47.88
15, , , ,1.62,51.4
16, , , ,1.47,57.16
17, , , ,1.9,58.08
18, , , ,3.28,58.81
19, , , ,3.39,60.26
20, , , ,3.43,62.99
21, , , ,3.28,64.25
22, , , ,2.67,64.38
23, , , ,2.96,77.91
断面名称,长BHG-8, , ,测量水位,1.14
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.39,0
2, , , ,2.61,2.27
3, , , ,3.12,23.82
4, , , ,3.3,26.13
5, , , ,1.76,26.98
6, , , ,-0.59,31.56
7, , , ,-0.59,31.56
8, , , ,-0.6,35.98
9, , , ,-0.82,40.15
10, , , ,-1,44.21
11, , , ,-1,44.21
12, , , ,-0.96,49.65
13, , , ,-0.9,54.99
14, , , ,-0.9,54.99
15, , , ,-0.77,60.08
16, , , ,-0.7,66.68
17, , , ,-0.7,66.68
18, , , ,-0.6,70.78
19, , , ,-0.56,75.67
20, , , ,-0.54,77.08
21, , , ,-0.54,77.08
22, , , ,1.24,82.55
23, , , ,3.47,83.11
24, , , ,3.47,84.84
25, , , ,2.31,87.3
26, , , ,2.84,91.61
27, , , ,1.49,95.2
28, , , ,1.48,122.79
断面名称,长BHG2-1, , ,测量水位,1.65
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.45,0
2, , , ,2.42,3.05
3, , , ,3.21,4.54
4, , , ,3.33,6.13
5, , , ,2.78,7.08
6, , , ,2.54,9.36
7, , , ,1.56,10.58
8, , , ,0.78,11.06
9, , , ,0.65,12.59
10, , , ,0.54,15.39
11, , , ,0.46,18.42
12, , , ,0.77,22.14
13, , , ,1.04,26.56
14, , , ,3.32,29.64
15, , , ,3.52,32.28
16, , , ,3.16,44.53
17, , , ,2.75,45.18
18, , , ,2.79,49.69
断面名称,长BHG2-2, , ,测量水位,1.64
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.94,0
2, , , ,2.26,5.39
3, , , ,3.13,7.53
4, , , ,2.63,8.9
5, , , ,2.38,12.72
6, , , ,1.79,13.48
7, , , ,1.39,13.91
8, , , ,1.07,16.85
9, , , ,0.98,21.08
10, , , ,1.27,26.4
11, , , ,1.67,31.03
12, , , ,1.63,35.19
13, , , ,3.05,36.61
14, , , ,2.96,39.27
15, , , ,2.52,44.47
16, , , ,2.46,46.18
断面名称,长BHG2-3, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.5,0
2, , , ,3.28,2.04
3, , , ,3.04,4.23
4, , , ,1.33,7.84
5, , , ,1.02,9.21
6, , , ,0.81,11.8
7, , , ,0.4,13.95
8, , , ,0.54,14.32
9, , , ,0.5,15.82
10, , , ,0.83,18.59
11, , , ,0.8,19.56
12, , , ,0.74,21.77
13, , , ,0.96,24.45
14, , , ,0.51,29.55
15, , , ,0.38,31.52
16, , , ,0.75,34.21
17, , , ,0,36.22
18, , , ,-0.31,37.76
19, , , ,-0.33,38.61
20, , , ,-0.2,39.8
21, , , ,3.65,42.46
22, , , ,3.83,43.66
23, , , ,3.95,45.02
24, , , ,3.88,49.64
断面名称,长BHG2-4, , ,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.37,0
2, , , ,2.63,1.48
3, , , ,2.64,2.51
4, , , ,3.17,4.67
5, , , ,3.78,11.85
6, , , ,3.48,13.65
7, , , ,2.04,14.65
8, , , ,0.25,15.91
9, , , ,0.2,18.47
10, , , ,0.16,23.44
11, , , ,0.11,26.49
12, , , ,0.08,26.64
13, , , ,0.03,27.98
14, , , ,-0.15,29.94
15, , , ,-0.23,32.51
16, , , ,-0.02,34.36
17, , , ,-0.05,34.77
18, , , ,0.24,39.55
19, , , ,0.93,47.72
20, , , ,1.62,49.34
21, , , ,3.31,51.67
22, , , ,3.37,54.24
23, , , ,3.14,57.29
24, , , ,2.42,61.75
25, , , ,2.31,64.39
断面名称,长BHG2-5, , ,测量水位,1.64
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.45,0
