河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
北横港1,长BHG1-1,3442676.5,494207.26,3442676.316,494178.564
北横港1,长BHG1-2,3442044.635,494129.488,3442049.022,494099.732
北横港1,长BHG1-3,3441212.447,494010.376,3441214.682,493976.652
北横港1,长BHG1-4,3440261.786,494005.862,3440247.099,493903.171
北横港1,长BHG1-5,3439556.934,494386.713,3439512.927,494289.365
北横港1,长BHG1-6,3438934.098,494843.596,3438908.355,494790.86
北横港1,长BHG1-7,3438071.657,495215.349,3438079.959,495137.879
北横港1,长BHG1-8,3437235.684,494976.609,3437238.413,494853.848
北横港2,长BHG-1,3436954.182,497564.449,3436992.104,497532.346
北横港2,长BHG-2,3436451.024,497385.702,3436440.078,497340.833
北横港2,长BHG-3,3436845.765,496187.611,3436805.792,496158.179
北横港2,长BHG-4,3436483.612,496235.566,3436471.383,496172.346
北横港2,长BHG-5,3436326.116,496405.301,3436168.382,496282.207
北横港2,长BHG-6,3435812.932,497791.508,3435778.933,497739.639
北横港2,长BHG-7,3435332.332,498251.589,3435284.442,498219.341
北横港2,长BHG-8,3434877.673,498625.156,3434870.101,498587.605
北横港2,长BHG-9,3434688.103,498687,3434675.664,498619.981
北横港2,长BHG-10,3434566.479,498719.405,3434554.594,498645.861
北横港2,长BHG-11,3433640.89,499228.652,3433597.19,499179.036
北横港2,长BHG-12,3433025.876,499646.485,3432990.634,499586.312
北横港2,长BHG-13,3432800.404,500348.655,3432725.262,500349.082
北横港2,长BHG-14,3432553.949,501127.316,3432519.294,501109.991
北横港2,长BHG-15,3431868.236,501712.536,3431812.805,501678.371
北横港2,长BHG-16,3431635.027,502348.667,3431253.428,502298.942
北横港2,长BHG-17,3431597.673,502599.938,3431523.002,502587.796
北横港2,长BHG-18,3431473.577,503250.178,3431396.323,503232.99
北横港2,长BHG-19,3431042.64,504414.98,3430937.86,504349.508
北横港2,长BHG-20,3430544.932,505083.62,3430499.254,505051.479
北横港2,长BHG-21,3430135.426,505943.892,3430104.227,505920.426
北横港2,长BHG-22,3429530.337,506822.921,3429510.773,506787.427
北横港2,长BHG-23,3428794.604,507285.777,3428777.248,507201.433
北横港2,长BHG-24,3428288.201,507615.338,3428234.785,507567.114
北横港2,长BHG-25,3428052.75,507922.437,3427997.365,507872.287
北横港2,长BHG-26,3427409.982,508606.765,3427388.486,508579.382
