断面编号,类别,名称,所在河流,市,县（市、区）,镇（乡）,经纬度（保留7位小数）,Unnamed: 8,船闸,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,水闸,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,堰坝,Unnamed: 20,Unnamed: 21,桥梁,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,备注
,,,,,,,东经,北纬,闸顶高程,闸底高程,孔数,闸门净宽（m）,总净宽,闸顶高程,闸底高程,孔数,闸门净宽（m）,总净宽,顶高程,底板高程,净宽（m）,桥梁形式,桥孔数,桥孔净宽（m）,总净宽（m）,底板高程,桥面高程,
长BTG-2,阻水桥梁,桥梁1,北塘港,湖州市,长兴县,夹浦镇 ,119°54′28.584100″,31°07′22.411000″,,,,,,,,,,,,,,梁板桥,1,4.4,4.4,3.58,3.89,
长BTG-4,阻水桥梁,桥梁2,北塘港,湖州市,长兴县,夹浦镇 ,119°54′22.974000″,31°06′29.382600″,,,,,,,,,,,,,,拱桥,1,7,7,5.32,5.85,
长BTG-12,阻水桥梁,桥梁3,北塘港,湖州市,长兴县,龙山街道 ,119°54′34.700600″,31°04′05.404300″,,,,,,,,,,,,,,拱桥,1,26.3,26.3,5.87,6.27,
长BTG-14,阻水桥梁,桥梁4,北塘港,湖州市,长兴县,龙山街道与太湖街道交界,119°54′30.980400″,31°03′25.467100″,,,,,,,,,,,,,,拱桥,1,20,20,6.57,7.12,
长BTG-23,阻水桥梁,桥梁5,北塘港,湖州市,长兴县,雉城街道,119°54′20.758400″,31°00′52.017600″,,,,,,,,,,,,,,梁板桥,1,7.4,7.4,6.19,6.45,
长BTG-24,阻水桥梁,桥梁6,北塘港,湖州市,长兴县,雉城街道,119°54′26.146300″,31°00′21.889000″,,,,,,,,,,,,,,梁板桥,1,24.3,24.3,6.24,6.54,
长BTG-10,水闸,水闸1,北塘港,湖州市,长兴县,龙山街道 ,119°54′36.588200″,31°04′41.496100″,,,,,,4.35,-1.15,1,8.7,8.7,,,,,,,,,,
长BTG-16,水闸,水闸2,北塘港,湖州市,长兴县,龙山街道与太湖街道交界 ,119°54′39.364500″,31°02′43.107400″,,,,,,5.25,-0.95,1,7.05,7.05,,,,,,,,,,
长BTG-17,水闸,水闸3(红旗闸),北塘港,湖州市,长兴县,龙山街道与太湖街道交界 ,119°54′39.492300″,31°02′40.579900″,,,,,,4.72,-0.06,1,6.62,6.62,,,,,,,,,,
长BTG-25,水闸,水闸4（仓前闸）,北塘港,湖州市,长兴县,雉城街道,119°54′25.575000″,31°00′11.349700″,,,,,,4.21,-0.81,1,5,5,,,,,,,,,,
长BTG-1,堰坝,堰坝1,北塘港,湖州市,长兴县,夹浦镇 ,119°54′29.067400″,31°07′24.447900″,,,,,,,,,,,2.53,,2,,,,,,,
长BTG-2,堰坝,堰坝2,北塘港,湖州市,长兴县,夹浦镇 ,119°54′28.567900″,31°07′22.568500″,,,,,,,,,,,1.77,,3.6,,,,,,,
