河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
长湖北线,长CHBX-1,3432878.24,496650.234,3432778.96,496628.797
长湖北线,长CHBX-2,3432968.178,498086.976,3432893.196,498086.621
长湖北线,长CHBX-3,3432848.728,499431.187,3432798.529,499428.036
长湖北线,长CHBX-4,3432745.238,499147.883,3432749.816,499017.001
长湖北线,长CHBX-5,3432437.535,499103.378,3432441.959,499047.763
长湖北线,长CHBX-6,3432036.639,499108.819,3432024.123,499006.66
长湖北线,长CHBX-7,3431717.945,499139.071,3431704.421,499081.028
长湖北线,长CHBX-8,3431356.805,498975.528,3431572.462,498938.938
长湖北线,长CHBX-9,3431152.487,498730.544,3431161.882,498661.502
长湖北线,长CHBX-10,3430804.379,498701.214,3430816.25,498299.613
长湖北线,长CHBX-11,3430581.249,498912.458,3430530.68,498911.426
长湖北线,长CHBX-12,3430548.434,499964.471,3430483.988,499932.115
长湖北线,长CHBX-13,3429894.102,499927.054,3429834.464,499897.943
长湖北线,长CHBX-14,3429817.196,500739.188,3429741.757,500749.944
长湖北线,长CHBX-15,3429454.326,501327.675,3429381.564,501295.672
长湖北线,长CHBX-16,3429316.261,501851.329,3429248.576,501852.606
长湖北线,长CHBX-17,3428839.379,502192.523,3428821.107,502115.447
长湖北线,长CHBX-18,3428335.827,502205.563,3428266.069,502204.832
长湖北线,长CHBX-19,3428374.311,503032.129,3428284.633,503029.711
长湖北线,长CHBX-20,3428224.473,504019.772,3428145.507,504030.095
长湖北线,长CHBX-21,3427864.923,504811.48,3427807.977,504777.905
长湖北线,长CHBX-22,3427629.057,505505.663,3427563.777,505488.962
长湖北线,长CHBX-23,3427469.259,506052.818,3427415.053,506051.84
长湖北线,长CHBX-24,3427369.843,506909.992,3427286.447,506890.621
长湖北线,长CHBX-25,3427246.429,507789.646,3427179.347,507783.689
长湖北线,长CHBX-26,3427110.519,508232.935,3427053.045,508216.623
长湖北线,长CHBX-27,3427198.366,508677.422,3427147.764,508670.63
长湖北线,长CHBX-28,3426492.487,509796.874,3426475.531,509707.707
