断面名称,长CXG-1, , .1,测量水位,1.45
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.62,0
2, , , ,5.77,5.92
3, , , ,-0.01,14.44
4, , , ,-1.12,15.15
5, , , ,-1.72,17.01
6, , , ,-2.36,19.7
7, , , ,-2.27,22.98
8, , , ,-2.25,26.94
9, , , ,-2.08,30.66
10, , , ,-2.18,34.58
11, , , ,-2.23,38.43
12, , , ,-2.08,42.18
13, , , ,-1.92,45.8
14, , , ,-1.98,47.53
15, , , ,-2.08,49.2
16, , , ,-1.97,50.85
17, , , ,-2.07,52.46
18, , , ,-1.84,55.55
19, , , ,-1.76,58.11
20, , , ,-1.63,60.16
21, , , ,-1.62,63.03
22, , , ,-1.44,65.92
23, , , ,-1.22,68.07
24, , , ,-0.68,70.38
25, , , ,0.2,72.24
26, , , ,1.27,76.64
27, , , ,2.19,76.91
28, , , ,2.19,77.63
29, , , ,2.1,77.8
30, , , ,2.82,79.4
31, , , ,4.52,82.66
32, , , ,6.95,87.56
33, , , ,7.02,89.4
34, , , ,7.14,93.74
35, , , ,7.36,98.36
断面名称,长CXG-2, , ,测量水位,1.42
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.27,0
2, , , ,4.89,7.41
3, , , ,4.82,9.91
4, , , ,5.42,13.47
5, , , ,4.83,13.58
6, , , ,5.4,14.27
7, , , ,4.57,14.81
8, , , ,4.56,15.09
9, , , ,0.94,15.39
10, , , ,0.81,16
11, , , ,0.09,19.29
12, , , ,-1.34,25.87
13, , , ,-2.77,32.46
14, , , ,-2.79,33.22
15, , , ,-2.86,35.57
16, , , ,-2.96,38.02
17, , , ,-3.22,41.02
18, , , ,-3.32,43.88
19, , , ,-3.46,46.25
20, , , ,-3.56,48.49
21, , , ,-3.57,50.69
22, , , ,-3.7,53.4
23, , , ,-3.86,55.85
24, , , ,-3.81,55.98
25, , , ,-3.61,58.4
26, , , ,-3.65,61.2
27, , , ,-1.74,69.76
28, , , ,-0.66,72.11
29, , , ,0.42,74.46
30, , , ,1.5,76.8
31, , , ,1.77,77.39
32, , , ,4.56,77.42
33, , , ,4.61,77.98
34, , , ,5.08,79.43
35, , , ,5.12,79.55
36, , , ,4.94,79.59
37, , , ,5.08,82.62
38, , , ,5.28,85.08
39, , , ,5.4,87.55
断面名称,长CXG-3, , ,测量水位,1.43
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.28,0
2, , , ,6.45,8.19
3, , , ,6.32,11.58
4, , , ,6.2,12.42
5, , , ,8.21,12.53
6, , , ,8.32,12.64
7, , , ,6.32,12.66
8, , , ,1.15,19.27
9, , , ,0.93,20.65
10, , , ,0.5,23.09
11, , , ,-0.1,26.1
12, , , ,-0.37,28.49
13, , , ,-0.61,31.03
14, , , ,-1.01,33.55
15, , , ,-1.47,36.18
16, , , ,-1.58,39.09
17, , , ,-1.95,41.86
18, , , ,-1.96,45.22
19, , , ,-2.01,55.07
20, , , ,-2.06,64.92
21, , , ,-2.31,66.7
22, , , ,-2.49,69.13
23, , , ,-2.4,73.87
24, , , ,-2.46,78.79
25, , , ,-2.1,81.84
26, , , ,-1.97,85.08
27, , , ,-2.13,88.61
28, , , ,-1.66,91.95
29, , , ,-1.13,95.02
30, , , ,-0.71,97.73
31, , , ,-0.91,100.28
32, , , ,-0.49,102.56
33, , , ,-0.05,104.61
34, , , ,0.77,107
35, , , ,8.23,111.69
36, , , ,8.69,116.74
37, , , ,8.88,118.79
38, , , ,8.6,119.27
39, , , ,8.84,137.7
断面名称,长CXG-4, , ,测量水位,1.44
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.75,0
2, , , ,6.5,1.06
3, , , ,5.98,4.34
4, , , ,4.45,8.49
5, , , ,3.99,8.89
6, , , ,3.86,12.25
7, , , ,3.87,14.09
8, , , ,3.83,14.84
9, , , ,3.82,15.17
10, , , ,1.24,15.54
11, , , ,0.73,19.91
12, , , ,0.72,21.03
13, , , ,0.61,23.56
14, , , ,-0.13,25.39
15, , , ,-0.25,27.56
16, , , ,-0.58,30.13
17, , , ,-0.92,33.09
18, , , ,-1.29,36.17
19, , , ,-1.53,39.34
20, , , ,-2.01,42.77
21, , , ,-2.23,46.13
22, , , ,-2.26,49.59
23, , , ,-2.25,53.16
24, , , ,-2.23,56.8
25, , , ,-2.25,60.41
26, , , ,-2.16,63.98
27, , , ,-1.97,67.51
28, , , ,-1.46,70.89
29, , , ,-1.04,73.62
30, , , ,-0.6,75.64
31, , , ,-0.39,77.87
32, , , ,-0.07,79.05
33, , , ,1.61,82.66
34, , , ,4.57,83.54
35, , , ,4.59,84.03
36, , , ,4.78,86.79
37, , , ,5,92.63
38, , , ,5.23,97.25
断面名称,长CXG-5, , ,测量水位,1.41
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.68,0
2, , , ,4.17,10.94
3, , , ,2.28,11.34
4, , , ,2.22,13.63
5, , , ,0.78,14
6, , , ,0.48,20.98
7, , , ,-0.39,23.57
8, , , ,-1.09,25.65
9, , , ,-1.35,28.2
10, , , ,-1.33,31.25
11, , , ,-2,34.42
12, , , ,-2.03,37.47
13, , , ,-1.91,40.5
14, , , ,-1.82,43.52
15, , , ,-1.92,46.38
16, , , ,-1.95,49.15
17, , , ,-1.96,52.08
18, , , ,-2.29,55.15
19, , , ,-1.53,58.22
20, , , ,-1.37,61.04
21, , , ,-1.24,63.71
22, , , ,-1.23,66.42
23, , , ,-0.72,69.03
24, , , ,0.63,71.13
25, , , ,0.56,73.21
26, , , ,0.43,76.25
27, , , ,1.23,82.45
28, , , ,4.6,83.04
29, , , ,4.62,83.17
30, , , ,4.89,85.3
31, , , ,5.38,86.69
32, , , ,7.37,92.57
33, , , ,7.33,95.74
34, , , ,6.17,100.53
35, , , ,5.53,103.11
36, , , ,5.48,106.64
37, , , ,4.41,110.87
38, , , ,4.36,117.3
断面名称,长CXG-6, , ,测量水位,1.38
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.5,0
2, , , ,0.77,1.44
3, , , ,0.5,3.41
4, , , ,0.11,4.08
5, , , ,0.01,5.56
6, , , ,-0.5,7.76
7, , , ,-0.6,10.12
8, , , ,-1.04,12.67
9, , , ,-1.72,15.28
10, , , ,-1.81,17.78
11, , , ,-2.12,20.37
12, , , ,-2.14,22.98
13, , , ,-2.34,25.67
14, , , ,-1.84,28.19
15, , , ,-2.04,30.87
16, , , ,-1.64,33.08
17, , , ,-1.47,34.9
18, , , ,-0.68,36.8
19, , , ,-0.44,38.03
20, , , ,-0.22,39.57
21, , , ,0.53,41.18
22, , , ,0.69,43.72
23, , , ,0.71,45.18
24, , , ,0.99,46.63
25, , , ,3.73,47.68
26, , , ,3.73,47.68
断面名称,长CXG-7, , ,测量水位,1.37
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.29,0
2, , , ,4.19,5.24
3, , , ,4.25,9.1
4, , , ,4.53,13.31
5, , , ,4.14,14.95
6, , , ,4,19.12
7, , , ,3.97,22.16
8, , , ,0.97,22.54
9, , , ,0.6,26.11
10, , , ,0.25,29.41
11, , , ,-0.13,30.83
12, , , ,-0.59,33.15
13, , , ,-0.73,35.84
14, , , ,-1.21,39.06
15, , , ,-1.49,42.33
16, , , ,-1.78,45.61
17, , , ,-1.85,48.96
18, , , ,-1.95,52.15
19, , , ,-2.01,54.95
20, , , ,-1.94,57.66
21, , , ,-1.77,60.44
22, , , ,-1.32,63.54
23, , , ,-0.99,66.77
24, , , ,-0.66,69.28
25, , , ,-0.51,71.13
26, , , ,-0.56,74.12
27, , , ,0.34,79.18
28, , , ,0.6,82.63
29, , , ,3.37,84.8
30, , , ,4.64,85.55
31, , , ,4.88,87.4
32, , , ,4.99,89.73
33, , , ,4.98,96.3
34, , , ,4.52,97.72
35, , , ,3.82,98.2
36, , , ,3.86,99.72
37, , , ,3.68,103.53
断面名称,长CXG-8, , ,测量水位,1.41
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.53,0
2, , , ,4.54,5.68
3, , , ,4.65,5.73
4, , , ,4.47,15.15
5, , , ,4.18,16.44
6, , , ,4.2,18.24
7, , , ,3.96,29.09
8, , , ,3.93,36.56
9, , , ,4.19,36.72
10, , , ,4.16,36.93
11, , , ,4.1,41.82
12, , , ,3.87,41.9
13, , , ,3.88,42.36
14, , , ,1.18,42.53
15, , , ,0.42,50.14
16, , , ,0.03,52.36
17, , , ,-0.44,55.18
18, , , ,-0.94,58.19
19, , , ,-1.42,61.64
20, , , ,-1.82,65.11
21, , , ,-2,68.25
22, , , ,-2.05,71.14
23, , , ,-2.16,73.87
24, , , ,-2.25,76.5
25, , , ,-2.22,79.14
26, , , ,-2.1,81.73
27, , , ,-1.76,84.3
28, , , ,-1.25,86.86
29, , , ,-0.36,89.39
30, , , ,0.06,91.69
31, , , ,0.52,93.74
32, , , ,0.86,104.69
33, , , ,4.07,105.1
34, , , ,4.38,106.95
35, , , ,4.49,109.76
36, , , ,4.62,114.83
37, , , ,4.61,123.22
断面名称,长CXG-9, , ,测量水位,1.43
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.69,0
2, , , ,4.57,2.11
3, , , ,4.66,5.52
4, , , ,5.07,7.89
5, , , ,4.92,8.51
6, , , ,3.69,15.14
7, , , ,3.7,18.51
8, , , ,3.7,18.88
9, , , ,1.28,19.37
10, , , ,0.85,20.6
11, , , ,0.47,21.56
12, , , ,0.59,23.25
13, , , ,0.5,23.92
14, , , ,0.21,25.43
15, , , ,0.1,26.22
16, , , ,-0.5,28.18
17, , , ,-1.1,30.55
18, , , ,-1.48,33.33
19, , , ,-1.87,36.23
20, , , ,-1.93,39.18
21, , , ,-2.06,42.05
22, , , ,-2.06,44.74
23, , , ,-2.07,47.17
24, , , ,-2.02,49.63
25, , , ,-1.82,51.65
26, , , ,-1.57,53.85
27, , , ,-1.15,55.92
28, , , ,-0.51,58.31
29, , , ,0.06,60.61
30, , , ,0.4,62.9
31, , , ,0.32,64.42
32, , , ,1.73,68.73
33, , , ,4.18,69.07
34, , , ,4.05,70.25
35, , , ,4.09,77.88
断面名称,长CXG-10, , ,测量水位,1.41
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.14,0
2, , , ,5.08,1.58
3, , , ,5.04,3.01
4, , , ,4.86,5.16
5, , , ,4.24,5.62
6, , , ,4.45,8.37
7, , , ,4.55,9.93
8, , , ,4.67,10.62
9, , , ,0.92,11.88
10, , , ,0.74,12.17
11, , , ,0.36,14.11
