河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
长兴港,长CXG-1,3434481.159,484138.542,3434452.698,484044.394
长兴港,长CXG-2,3433893.568,484578.708,3433822.402,484527.706
长兴港,长CXG-3,3433289.289,485188.253,3433243.909,485058.241
长兴港,长CXG-4,3432520.618,485619.919,3432480.714,485531.233
长兴港,长CXG-5,3431884.677,486131.457,3431808.805,486042.004
长兴港,长CXG-6,3430974.442,487010.655,3430928.562,487023.648
长兴港,长CXG-7,3431239.623,487672.347,3431136.955,487685.702
长兴港,长CXG-8,3431192.064,488693.825,3431072.6,488724.02
长兴港,长CXG-9,3431391.632,489538.407,3431314.426,489548.645
长兴港,长CXG-10,3431171.434,490590.569,3431101.986,490587.78
长兴港,长CXG-11,3431275.291,491416.013,3431218.39,491424.584
长兴港,长CXG-12,3431477.085,492430.13,3431399.723,492442.734
长兴港,长CXG-13,3431628.731,493419.491,3431536.105,493419.349
长兴港,长CXG-14,3431915.261,493964.022,3431826.152,494024.627
长兴港,长CXG-15,3432469.927,494556.55,3432385.292,494618.717
长兴港,长CXG-16,3432944.024,495696.797,3432835.441,495709.299
长兴港,长CXG-17,3434153.247,497592.536,3434088.254,497682.009
长兴港,长CXG-18,3434722.258,498067.546,3434616.092,498092.482
长兴港,长CXG-19,3434867.124,498804.818,3434772.304,498844.178
