河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
林城港,长LCG-1,3423354.165,478979.124,3423400.753,478920.622
林城港,长LCG-2,3424227.126,479656.802,3424279.431,479583.157
林城港,长LCG-3,3424996.642,480269.97,3425056.135,480192.617
林城港,长LCG-4,3425855.974,480794.102,3425903.566,480716.739
林城港,长LCG-5,3426469.173,481193.288,3426540.056,481120.109
林城港,长LCG-6,3426943.451,481992.59,3427034.058,481940.621
林城港,长LCG-7,3427421.718,482610.547,3427471.681,482575.991
林城港,长LCG-8,3427769.893,483395.609,3427856.286,483351.833
林城港,长LCG-9,3428245.149,484284.569,3428325.431,484240.869
林城港,长LCG-10,3429111.57,484850.716,3429126.183,484803.244
林城港,长LCG-11,3429649.135,485523.898,3429737.783,485502.623
林城港,长LCG-12,3430403.762,486603.159,3430463.554,486542.892
