断面名称,长XKHG-1, , .1,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.96,0
2, , , ,1.93,9.76
3, , , ,1.84,16.09
4, , , ,3.53,21.18
5, , , ,3.9,24.14
6, , , ,1.01,26.29
7, , , ,0.28,31.11
8, , , ,-0.12,33.09
9, , , ,-0.21,35.03
10, , , ,-0.44,37.63
11, , , ,-0.4,40.34
12, , , ,-0.08,42.3
13, , , ,0.24,43.39
14, , , ,0.32,43.78
15, , , ,1.62,48.05
16, , , ,3.08,48.9
17, , , ,3.02,50.55
18, , , ,2.93,54.99
19, , , ,2.86,58.96
20, , , ,2.57,62.74
21, , , ,2.32,64.4
22, , , ,2.18,66.07
断面名称,长XKHG-2, , ,测量水位,1.6
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.16,0
2, , , ,2.87,4.74
3, , , ,2.83,8.05
4, , , ,3.17,9.84
5, , , ,2.02,10.52
6, , , ,-0.05,13.62
7, , , ,-0.16,14.22
8, , , ,-0.17,14.52
9, , , ,-0.52,18.04
10, , , ,-0.65,20.78
11, , , ,-0.61,23.87
12, , , ,-0.24,27.37
13, , , ,0.26,30.08
14, , , ,0.69,34.54
15, , , ,0.71,38.06
16, , , ,1.38,41.65
17, , , ,2.84,42.84
18, , , ,3.69,43.99
19, , , ,3.7,46.39
断面名称,长XKHG-3, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.08,0
2, , , ,1.88,12.91
3, , , ,1.91,25.34
4, , , ,3.06,28.67
5, , , ,1.56,31.56
6, , , ,0.77,35.96
7, , , ,0.33,38
8, , , ,0.28,40.87
9, , , ,0.08,43.6
10, , , ,-0.15,46.41
11, , , ,-0.16,48.62
12, , , ,0.16,50.86
13, , , ,0.53,53.16
14, , , ,0.58,54.58
15, , , ,1.41,61.8
16, , , ,3.25,63.97
17, , , ,3.46,66.33
18, , , ,3.15,71.14
19, , , ,3.06,76.36
20, , , ,3.07,81
21, , , ,2.91,85.27
断面名称,长XKHG-4, , ,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.6,0
2, , , ,3.82,12.61
3, , , ,3.35,22.18
4, , , ,3.13,26.61
5, , , ,1.98,29.28
6, , , ,0.02,34.38
7, , , ,0.08,36.09
8, , , ,0.03,37.84
9, , , ,-0.05,40.84
10, , , ,-0.12,43.95
11, , , ,-0.15,47.02
12, , , ,-0.27,50.13
13, , , ,-0.25,53.3
14, , , ,-0.27,56.48
15, , , ,-0.42,59.61
16, , , ,-0.49,62.68
17, , , ,-0.55,65.82
18, , , ,-0.62,68.95
19, , , ,-0.59,72.11
20, , , ,-0.6,75.32
21, , , ,-0.63,78.56
22, , , ,-0.58,81.67
23, , , ,-0.59,84.68
24, , , ,-0.51,87.48
25, , , ,-0.44,90.08
26, , , ,-0.25,92.37
27, , , ,0.05,94.74
28, , , ,0.35,97.42
29, , , ,1.73,106.33
30, , , ,2.5,107.58
31, , , ,3.28,109.31
32, , , ,3.71,111.35
33, , , ,3.49,112.26
34, , , ,3.61,116.07
断面名称,长XKHG-5, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.68,0
2, , , ,2.41,2.71
3, , , ,2.73,5.89
4, , , ,3.63,8.28
5, , , ,4.34,9.72
6, , , ,4.55,10.3
7, , , ,3.15,11.91
8, , , ,0.56,13.83
9, , , ,0.32,15.52
10, , , ,0.12,16.89
11, , , ,-0.24,17.84
12, , , ,-0.58,20.34
13, , , ,-1.42,22.81
14, , , ,-1.09,25.47
15, , , ,-1.15,27.65
16, , , ,0.12,29.89
17, , , ,0.21,31.61
18, , , ,0.45,33.58
19, , , ,2.41,34.78
20, , , ,2.82,35.12
21, , , ,3.69,36.11
22, , , ,3.78,38.28
23, , , ,3.64,40.96
24, , , ,3.33,45.25
25, , , ,3.12,52.34
断面名称,长XKHG-6, , ,测量水位,1.6
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.71,0
2, , , ,2.68,4.9
3, , , ,3.59,6.65
4, , , ,2.97,9.12
5, , , ,3.01,11.21
6, , , ,1.47,13.74
7, , , ,0.11,21.03
8, , , ,-0.1,23.26
9, , , ,-0.27,24.55
10, , , ,-0.32,28.28
11, , , ,-0.34,29.16
12, , , ,-0.39,30.56
13, , , ,-0.38,31.9
14, , , ,-0.02,33.81
15, , , ,0.08,35.38
16, , , ,0.11,37.69
17, , , ,0.35,44.71
18, , , ,3.28,46.06
19, , , ,3.65,46.17
20, , , ,4.04,47.46
21, , , ,4.09,50.08
22, , , ,3.23,52.86
23, , , ,2.88,55.27
24, , , ,2.84,62.63
25, , , ,2.81,69.28
