河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
张王塘港,长ZWTG-1,3431385.074,492938.237,3431341.658,492866.553
张王塘港,长ZWTG-2,3430388.244,492835.989,3430400.594,492775.715
张王塘港,长ZWTG-3,3429735.127,492776.608,3429745.374,492694.188
张王塘港,长ZWTG-4,3429264.166,492745.544,3429271.477,492633.836
张王塘港,长ZWTG-5,3428020.056,492674.761,3428021.887,492578.613
张王塘港,长ZWTG-6,3426853.118,492575.064,3426865.751,492473.977
张王塘港,长ZWTG-7,3425724.684,492471.49,3425721.992,492381.484
张王塘港,长ZWTG-8,3424464.874,492467.735,3424467.704,492355.777
张王塘港,长ZWTG-9,3423012.701,492252.366,3423026.093,492158.024
