断面名称,长YLJ-1, , .1,测量水位,15.09
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,17.81,0
2, , , ,17.87,2.7
3, , , ,17.8,5.78
4, , , ,17.22,10.02
5, , , ,14.55,10.47
6, , , ,14.35,11.46
7, , , ,14.36,12.85
8, , , ,13.88,14.2
9, , , ,13.95,15.79
10, , , ,13.81,16.43
11, , , ,13.73,17.45
12, , , ,13.69,18.51
13, , , ,13.68,19.01
14, , , ,13.57,21.68
15, , , ,13.6,21.74
16, , , ,13.78,23.39
17, , , ,14.41,28.17
18, , , ,15.09,28.57
19, , , ,15.32,30.06
20, , , ,16.03,34.64
21, , , ,16.11,36.32
22, , , ,17.23,36.93
23, , , ,17.59,38.97
24, , , ,19.22,39.44
25, , , ,19.13,42.32
26, , , ,19.07,45.42
27, , , ,19.1,50.99
断面名称,长YLJ-2, , ,测量水位,11.96
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,14.73,0
2, , , ,14.62,3.47
3, , , ,14.75,8.8
4, , , ,14.5,9.44
5, , , ,14.49,13.48
6, , , ,14.48,18.82
7, , , ,14.52,23.81
8, , , ,15.9,25.52
9, , , ,16.12,27.25
10, , , ,12.8,29.29
11, , , ,12.71,30.25
12, , , ,11.96,31.27
13, , , ,11.89,32.44
14, , , ,11.45,32.87
15, , , ,11.29,33.73
16, , , ,10.85,34.13
17, , , ,10.78,34.59
18, , , ,10.98,36
19, , , ,10.95,37.72
20, , , ,10.89,38.51
21, , , ,10.88,39.79
22, , , ,10.89,40.78
23, , , ,10.86,42.53
24, , , ,11.11,43.28
25, , , ,11.07,44.74
26, , , ,11.17,46.18
27, , , ,11.36,46.68
28, , , ,11.76,50.28
29, , , ,13.11,53.5
30, , , ,15.17,53.88
31, , , ,15.22,54.11
32, , , ,15.35,58.05
33, , , ,15.29,61.02
断面名称,长YLJ-3, , ,测量水位,9.46
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,10.76,0
2, , , ,10.66,2.6
3, , , ,10.6,3.9
4, , , ,10.31,7.68
5, , , ,9.79,8.34
6, , , ,8.69,10.55
7, , , ,8.49,14.08
8, , , ,8.47,18.12
9, , , ,8.51,23.08
10, , , ,8.71,25.49
11, , , ,9.2,26.47
12, , , ,9.15,27.85
13, , , ,9.21,28.42
14, , , ,9.46,30.26
15, , , ,10.89,32.4
16, , , ,12.31,36.25
17, , , ,12.68,36.29
18, , , ,12.84,37.1
19, , , ,12.6,50.75
断面名称,长YLJ-4, , ,测量水位,5.9
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,8.21,0
2, , , ,9.03,0.34
3, , , ,8.89,0.58
4, , , ,6.58,1.08
5, , , ,6.62,2.24
6, , , ,4.95,2.92
7, , , ,4.77,4.67
8, , , ,4.63,7.09
9, , , ,4.48,8.33
10, , , ,4.66,9.89
11, , , ,4.64,10.77
12, , , ,6.03,11.91
13, , , ,6.03,12.67
14, , , ,5.11,13.01
15, , , ,4.88,14.84
断面名称,长YLJ-5, , ,测量水位,2.35
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,7.53,0
2, , , ,7.51,1.55
3, , , ,7.53,1.92
4, , , ,6.3,2.97
5, , , ,4.14,5.09
6, , , ,4.15,5.71
7, , , ,2.04,8.22
8, , , ,2.09,9
9, , , ,2.06,12.13
10, , , ,2.04,14.94
11, , , ,1.96,17.07
12, , , ,2.27,18.78
13, , , ,6.15,19.24
14, , , ,5.87,23.06
15, , , ,6,26.97
16, , , ,6.17,31.33
