断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,夹浦港,,,,,
长BHG1-1,59.8555,3.81,6.09,0.06,,
长BHG1-2,700.7926,3.74,3.38,-0.4,,
长BHG1-3,1546.8353,4.83,3.7,-0.1,桥梁1、王长港、双港,阻水桥梁、河道
长BHG1-4,2512.1295,3.27,3.93,-1.39,李王殿港,河道
长BHG1-5,3329.2634,3.08,2.94,-0.51,水闸1、桥梁2,阻水桥梁
长BHG1-6,4125.9252,3.23,3.08,-1.31,桥梁3,阻水桥梁
长BHG1-7,5101.2117,2.94,3.43,-0.39,桥梁4、沉渎港,阻水桥梁、河道
长BHG1-8,5989.1660999999995,3.3,3.47,-1.0,桥梁5、合溪新港,阻水桥梁、河道
长BHG2-3,6380.8315999999995,3.5,3.95,-0.33,桥梁6,阻水桥梁
长BHG2-4,6786.7420999999995,3.78,3.37,-0.23,,
长BHG2-5,7065.476199999999,3.26,3.07,-0.39,新开河港,河道
长BHG2-6,8595.3989,3.39,2.8,-0.08,,
长BHG2-7,9297.0006,4.13,3.2,0.43,,
长BHG2-8,9894.5109,5.72,5.76,-1.19,水闸2、长兴港,水闸、河道
长BHG2-9,10095.5186,2.85,2.86,-1.29,水闸3,水闸
长BHG2-10,10220.1426,3.12,3.68,-1.15,,
长BHG2-11,11354.016899999999,3.75,3.65,-0.81,,
长BHG2-12,12093.339199999999,3.41,3.18,-0.23,长湖北线,河道
长BHG2-13,12954.861399999998,3.93,3.66,-0.03,,
长BHG2-14,13761.774199999998,3.74,3.6,0.01,水闸4、杨家浦港,水闸、河道
长BHG2-15,14683.543299999998,3.67,4.09,0.04,,
长BHG2-16,15380.761599999998,3.59,4.09,-0.14,,
长BHG2-17,15634.166499999998,3.76,3.91,-0.38,,
长BHG2-18,16294.368499999997,3.02,4.12,-0.38,钱家渡,河道
长BHG2-19,17532.849799999996,3.69,3.66,-1.52,,
长BHG2-20,18362.832099999996,3.86,3.44,-0.36,桥梁8,阻水桥梁
长BHG2-21,19332.249399999997,4.78,3.85,-0.06,震泽桥、桥梁10、桥梁11,阻水桥梁
长BHG2-22,20408.602799999997,4.65,3.14,-0.58,桥梁12、桥梁13,阻水桥梁
长BHG2-23,21280.8117,3.49,3.28,-0.09,桥梁14,阻水桥梁
长BHG2-24,21943.6678,2.31,3.49,0.29,,
长BHG2-25,22334.3253,4.12,3.88,0.25,,
长BHG2-26,23282.4637,4.13,4.44,-0.77,,
终点,长湖北线,,,,,
