断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,张王塘港,,,,,
长YJPG-1,74.8357,5.13,4.72,-2.21,,
长YJPG-2,978.7907,5.14,4.53,-1.93,,
长YJPG-3,1621.7593000000002,4.52,4.84,-2.16,,
长YJPG-4,2336.0202,4.5,5.87,-2.08,,
长YJPG-5,2576.3523,3.97,4.44,-1.99,,
长YJPG-6,3084.3998,4.42,4.08,-2.06,,
长YJPG-7,3507.0561000000002,4.99,4.4,-2.27,桥梁1,阻水桥梁
长YJPG-8,4498.708500000001,4.21,4.85,-2.12,,
长YJPG-9,5207.1548,4.09,4.45,-1.87,,
长YJPG-10,5419.0245,6.0,3.04,-2.25,,
长YJPG-11,5915.5679,4.21,4.56,-1.81,,
长YJPG-12,6554.7956,4.06,5.24,-2.29,,
长YJPG-13,7021.4478,4.73,4.06,-2.03,,
长YJPG-14,7376.4202,4.26,4.06,-2.46,,
长YJPG-15,8009.361499999999,4.78,4.22,-2.28,,
长YJPG-16,9383.7822,3.27,4.8,-2.14,,
长YJPG-17,10292.4862,4.19,4.76,-2.95,,
长YJPG-18,10772.8324,4.02,4.76,-2.43,,
长YJPG-19,11738.0625,3.47,3.08,-2.31,长洪港、长湖北线、长湖北线,河道
长YJPG-20,13065.972099999999,4.45,3.84,-2.69,,
长YJPG-21,14001.1852,4.6,4.58,-2.59,,
长YJPG-22,14588.668,3.57,4.53,-2.6,北横港,河道
长YJPG-23,15214.327299999999,5.52,5.78,-2.33,,
终点,太湖,,,,,
