断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,泗安塘,,,,,
长LCG-1,219.8677,2.36,6.18,-1.91,,
长LCG-2,1323.2087,6.22,6.44,-0.95,桥梁1,阻水桥梁
长LCG-3,2310.4933,6.05,5.8,-0.8,,
长LCG-4,3310.3684000000003,4.63,5.36,-0.78,,
长LCG-5,4053.0187000000005,6.3,5.77,-1.79,桥梁2、周吴涧,阻水桥梁、河道
长LCG-6,4997.125800000001,4.64,5.65,-2.15,,
长LCG-7,5777.226900000001,6.91,5.83,-0.69,白阜港,河道
长LCG-8,6645.534000000001,5.76,5.66,-1.12,桥梁3,阻水桥梁
长LCG-9,7656.5007000000005,5.8,5.31,-1.68,,
长LCG-10,8701.2425,4.66,3.55,-1.51,,
长LCG-11,9683.056700000001,4.93,5.62,-2.12,,
长LCG-12,11010.3708,5.23,6.38,-1.67,,
终点,重阳港,,,,,
