断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,合溪涧,,,,,
长CXG-1,261.1,5.77,7.36,-2.36,杨林涧,河道
长CXG-2,1069.15,5.42,5.4,-3.86,,
长CXG-3,1970.47,8.32,8.88,-2.49,,
长CXG-4,2874.54,6.75,5.23,-2.26,,
长CXG-5,3748.44,5.68,7.37,-2.29,重阳港,河道
长CXG-6,5470.63,3.5,3.73,-2.34,重阳港,河道
长CXG-7,6174.89,4.53,4.99,-2.01,,
长CXG-8,7258.06,4.65,4.62,-2.25,,
长CXG-9,8127.69,5.07,4.18,-2.07,黄土桥港,河道
长CXG-10,9205.08,5.14,5.07,-2.29,,
长CXG-11,10045.24,4.75,4.56,-2.04,北塘港,河道
长CXG-12,11079.41,6.47,4.24,-2.28,张王塘港,河道
长CXG-13,12073.18,6.78,6.4,-1.33,,
长CXG-14,12736.07,5.9,4.43,-2.06,长洪港,河道
长CXG-15,13560.15,4.12,3.62,-1.07,,
长CXG-16,14824.06,5.02,3.35,-2.07,新开河港、长湖北线,河道
长CXG-17,17241.35,4.4,4.14,-2.24,,
长CXG-18,17975.17,3.83,4.24,-2.36,,
长CXG-19,18736.07,3.53,4.47,-2.49,北横港,河道
终点,太湖,,,,,
