断面名称,长CHBX-1, , .1,测量水位,1.66
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.46,0
2, , , ,2.44,11.54
3, , , ,2.44,11.58
4, , , ,2.63,11.68
5, , , ,2.95,12.25
6, , , ,2.7,14.23
7, , , ,1.92,14.95
8, , , ,1.32,15.47
9, , , ,1.14,15.6
10, , , ,0.95,18.21
11, , , ,0.92,21.76
12, , , ,0.75,25.76
13, , , ,0.63,28.85
14, , , ,0.6,32.41
15, , , ,0.25,34.95
16, , , ,0.12,37.32
17, , , ,-0.56,39.9
18, , , ,-1.39,42.61
19, , , ,-0.63,45.43
20, , , ,0.43,48.27
21, , , ,0.71,50.73
22, , , ,0.76,52.24
23, , , ,0.8,54.89
24, , , ,1.35,58.75
25, , , ,1.69,62.88
26, , , ,1.6,65.34
27, , , ,1.92,67.11
28, , , ,3.5,68.99
29, , , ,3.37,69.01
30, , , ,3.82,69.27
31, , , ,3.84,71.16
32, , , ,2.75,73.65
33, , , ,2.72,82.46
34, , , ,2.22,84.01
35, , , ,2.08,90.63
36, , , ,1.75,101.57
断面名称,长CHBX-2, , ,测量水位,1.65
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.64,0
2, , , ,2.59,6.19
3, , , ,2.82,8.68
4, , , ,3.8,9.92
5, , , ,4.02,11.05
6, , , ,3.93,12.43
7, , , ,2.91,14.31
8, , , ,1.85,16.1
9, , , ,1.66,16.87
10, , , ,1.47,17.79
11, , , ,1.02,17.82
12, , , ,1.23,19.46
13, , , ,1.75,19.58
14, , , ,1.82,21.66
15, , , ,1.3,22.26
16, , , ,1.13,22.27
17, , , ,-0.78,24.47
18, , , ,-1.17,28.57
19, , , ,-1.2,32.5
20, , , ,-1.1,36.97
21, , , ,-1.07,40.52
22, , , ,-0.89,44
23, , , ,-0.69,47.04
24, , , ,-0.78,52.07
25, , , ,1.65,54.29
26, , , ,1.65,54.29
27, , , ,1.15,56.92
28, , , ,1.15,56.92
29, , , ,2.95,57.37
30, , , ,2.95,57.37
31, , , ,3.09,57.97
32, , , ,3.09,57.97
33, , , ,3.37,58.99
34, , , ,3.37,58.99
35, , , ,3.56,60.2
36, , , ,3.56,60.2
37, , , ,3.47,64.2
38, , , ,3.47,64.2
39, , , ,3.43,74.98
40, , , ,3.43,74.98
断面名称,长CHBX-3, , ,测量水位,1.64
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.08,0
2, , , ,3.4,1.42
3, , , ,3.21,3.86
4, , , ,2.73,4.9
5, , , ,2.27,5.96
6, , , ,1.83,6.82
7, , , ,1.83,6.82
8, , , ,1.83,6.82
9, , , ,1.28,8.87
10, , , ,1.27,9.22
11, , , ,0.75,9.63
12, , , ,0.56,11.76
13, , , ,0.37,13.9
14, , , ,0.32,15.12
15, , , ,-0.2,16.09
16, , , ,-0.13,17.53
17, , , ,-0.8,20.58
18, , , ,-0.8,23.85
19, , , ,-0.88,27.04
20, , , ,-0.7,29.6
21, , , ,-0.16,32.33
22, , , ,0.2,34.04
23, , , ,0.06,35.88
24, , , ,0.2,37.5
25, , , ,0.78,39.51
26, , , ,1.32,42.22
27, , , ,1.31,42.38
28, , , ,3.3,43.71
29, , , ,3.35,44.09
30, , , ,2.36,44.34
31, , , ,3.53,44.85
32, , , ,3.74,48.08
33, , , ,3.78,49.32
34, , , ,3.41,50.3
断面名称,长CHBX-4, , ,测量水位,1.64
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.92,0
2, , , ,3.18,4.4
3, , , ,3.63,7.2
4, , , ,3.59,9
5, , , ,2.64,10.51
6, , , ,0.72,15.75
7, , , ,0.64,21.24
8, , , ,0.58,23.52
9, , , ,0.56,25.99
10, , , ,0.57,30.01
11, , , ,0.61,33.11
12, , , ,0.58,36.4
13, , , ,0.58,39.75
14, , , ,0.55,43.1
15, , , ,0.51,46.51
16, , , ,0.44,49.93
17, , , ,0.19,53.35
18, , , ,-0.39,56.82
19, , , ,-0.74,60.28
20, , , ,-0.79,63.76
21, , , ,-0.88,67.16
22, , , ,-0.77,70.54
23, , , ,-0.64,73.92
24, , , ,-0.65,77.3
25, , , ,-0.36,80.63
26, , , ,-0.13,83.9
27, , , ,0.07,87.16
28, , , ,0.34,90.38
29, , , ,0.52,93.55
30, , , ,0.64,96.65
31, , , ,0.71,99.65
32, , , ,0.81,102.42
33, , , ,0.81,104.79
34, , , ,0.8,106.32
35, , , ,0.78,111.04
36, , , ,0.84,115.29
37, , , ,0.83,120.22
38, , , ,1.58,124.67
39, , , ,2.08,125.38
40, , , ,3.21,127.98
41, , , ,3.16,130.96
断面名称,长CHBX-5, , ,测量水位,1.59
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.03,0
2, , , ,2.75,8.64
3, , , ,3.48,13.12
4, , , ,3.65,16.11
5, , , ,2.99,17.44
6, , , ,-0.43,20.61
7, , , ,-0.63,22
8, , , ,-0.7,26
9, , , ,-0.71,28.22
10, , , ,-0.87,31.12
11, , , ,-1.1,32.63
12, , , ,-1.29,34.85
13, , , ,-1.32,37.49
14, , , ,-1.11,40.08
15, , , ,-0.79,42.34
16, , , ,-0.58,44.02
17, , , ,-0.25,45.84
18, , , ,-0.46,47.36
19, , , ,-0.7,49.61
20, , , ,1.72,51.75
21, , , ,3.69,53.73
22, , , ,3.6,54.43
23, , , ,3.31,55.79
断面名称,长CHBX-6, , ,测量水位,1.63
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.64,0
2, , , ,2.8,6.31
3, , , ,3.04,11.23
4, , , ,3.74,21.37
5, , , ,3.58,23.57
6, , , ,3.08,24.47
7, , , ,0.21,27.26
8, , , ,0.18,30.88
9, , , ,0.11,33.61
10, , , ,0.11,38.26
11, , , ,0.05,42.71
12, , , ,0.11,45.41
13, , , ,0.08,48.98
14, , , ,-0.08,53.66
15, , , ,-0.12,60.13
16, , , ,-0.04,64.7
17, , , ,0.04,67.7
18, , , ,0.25,72.37
19, , , ,0.25,74.92
20, , , ,0.22,77.31
21, , , ,0.23,80.19
22, , , ,0.36,82.83
23, , , ,1.57,85.2
24, , , ,2.63,86.42
25, , , ,2.85,88.72
26, , , ,2.25,97.2
27, , , ,3,102.92
断面名称,长CHBX-7, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.25,0
2, , , ,2.92,7.67
3, , , ,1.66,9.33
4, , , ,-0.23,12.55
5, , , ,-0.21,14.48
6, , , ,-0.17,17.55
7, , , ,-0.57,17.9
8, , , ,-0.88,20.51
9, , , ,-0.88,24.21
10, , , ,-0.97,29.26
11, , , ,-0.93,34.98
12, , , ,-0.79,39.81
13, , , ,-0.7,42.81
14, , , ,-0.3,45.3
15, , , ,-0.17,46.89
16, , , ,0.2,48.94
17, , , ,1.41,51.31
18, , , ,2.92,52.47
19, , , ,2.8,59.6
断面名称,长CHBX-8, , ,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.31,0
2, , , ,2.32,3.73
3, , , ,2.55,7.24
4, , , ,3.37,9.07
5, , , ,3.3,12.14
6, , , ,2.29,14.01
7, , , ,1.45,14.72
8, , , ,-0.13,20.64
9, , , ,-0.17,23.55
10, , , ,-0.18,25.47
11, , , ,-0.28,27.37
12, , , ,-0.75,30.11
13, , , ,-0.78,32.55
14, , , ,-0.94,36.96
15, , , ,-1.23,41.03
16, , , ,-1.2,43.84
17, , , ,-0.96,46.74
18, , , ,-0.93,49.75
19, , , ,-0.9,52.9
20, , , ,-0.97,56.15
21, , , ,-0.83,59.46
22, , , ,-0.93,62.84
23, , , ,-0.92,66.21
24, , , ,-0.96,69.61
25, , , ,-0.95,73
26, , , ,-0.94,76.4
27, , , ,-0.96,79.8
28, , , ,-1.02,83.16
29, , , ,-0.97,86.51
30, , , ,-1.03,90.04
31, , , ,-1.05,93.68
32, , , ,-1.11,97.36
33, , , ,-1.02,101.19
34, , , ,-0.96,103.22
35, , , ,-1.07,105.31
36, , , ,-1.12,107.47
37, , , ,-1.3,114.54
38, , , ,-1.33,123.23
39, , , ,-1.19,130.18
40, , , ,-0.93,143.43
41, , , ,-0.97,152.69
42, , , ,-0.83,158.61
43, , , ,-0.74,165.35
44, , , ,-0.64,171.82
45, , , ,-0.64,177.87
46, , , ,-0.63,184.48
47, , , ,-0.56,187.73
48, , , ,-0.46,192.55
49, , , ,-0.43,196.58
50, , , ,-0.22,198.07
51, , , ,1.5,199.23
52, , , ,2.51,200.53
53, , , ,3.31,206.38
54, , , ,3.23,209.73
55, , , ,2.92,213.45
56, , , ,2.96,218.74
断面名称,长CHBX-9, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.25,0
2, , , ,3.18,8.11
3, , , ,3.69,16.23
4, , , ,3.61,19.5
5, , , ,2.17,21.69
6, , , ,1.33,22.71
7, , , ,-0.02,24.64
8, , , ,-0.24,27.86
9, , , ,-0.57,30.05
10, , , ,-0.72,32.19
11, , , ,0,35
12, , , ,-0.88,38.66
13, , , ,-1.12,40.96
14, , , ,-0.92,43.08
15, , , ,-0.67,46.03
16, , , ,-0.52,48.32
17, , , ,-0.41,51.55
18, , , ,-0.23,54.75
19, , , ,-0.12,57.78
20, , , ,1.2,61.97
21, , , ,1.5,62.73
22, , , ,2.4,63.36
23, , , ,2.75,64.72
24, , , ,3.28,67.06
25, , , ,2.51,68.75
26, , , ,2.05,69.68
断面名称,长CHBX-10, , ,测量水位,1.59
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3,0
2, , , ,2.73,4.65
3, , , ,3.4,7.51
4, , , ,2.66,8.98
5, , , ,1.48,19.39
6, , , ,1.34,26.42
7, , , ,0.77,50.03
8, , , ,0.57,65.98
9, , , ,0,76.58
10, , , ,-0.19,84.41
11, , , ,-0.04,97.36
12, , , ,0.04,112.92
13, , , ,-0.15,124.59
14, , , ,-0.29,133.24
15, , , ,-0.35,141.92
