断面名称,长CHG-1, , .1,测量水位,1.52
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.87,0
2, , , ,3.78,5.37
3, , , ,3.81,10.22
4, , , ,2.93,14.07
5, , , ,3.01,14.3
6, , , ,2.92,14.38
7, , , ,1.21,15.14
8, , , ,1.88,16.71
9, , , ,1.99,18.73
10, , , ,1.28,20.26
11, , , ,0.56,21.7
12, , , ,0.45,24.03
13, , , ,0.36,25.18
14, , , ,0.41,27.06
15, , , ,0.43,28.5
16, , , ,0.11,30.04
17, , , ,0.23,31.58
18, , , ,0.35,32.55
19, , , ,0.43,33.55
20, , , ,0.57,35.51
21, , , ,0.74,36.01
22, , , ,3.62,38.21
23, , , ,4.26,38.64
24, , , ,4.38,40.89
25, , , ,4.27,43.86
断面名称,长CHG-2, , ,测量水位,1.51
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.65,0
2, , , ,3.85,3.52
3, , , ,3.67,8.99
4, , , ,3.6,12.35
5, , , ,3.64,12.69
6, , , ,1.82,13.06
7, , , ,1.06,13.4
8, , , ,0.32,13.47
9, , , ,0.45,15.02
10, , , ,0.32,17.99
11, , , ,0.42,19.88
12, , , ,0.32,22.51
13, , , ,0.32,23.98
14, , , ,0.42,25.85
15, , , ,0.45,28.31
16, , , ,0.39,30.07
17, , , ,0.4,31.92
18, , , ,0.57,34.24
19, , , ,0.6,35.96
20, , , ,0.65,40.19
21, , , ,0.72,45.81
22, , , ,0.85,52.72
23, , , ,0.9,59.56
24, , , ,0.95,64.1
25, , , ,1.45,66.19
26, , , ,1.68,66.69
27, , , ,1.95,66.93
28, , , ,2.4,67.47
29, , , ,2.2,68.34
30, , , ,3.05,70.3
31, , , ,3.72,74.07
32, , , ,3.6,74.97
33, , , ,3.53,80.63
断面名称,长CHG-3, , ,测量水位,1.48
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.83,0
2, , , ,3.76,5.33
3, , , ,3.95,10.79
4, , , ,3.73,14.53
5, , , ,2.97,15.88
6, , , ,0.45,16.84
7, , , ,0.39,18.09
8, , , ,0.56,19.5
9, , , ,0.44,21.57
10, , , ,0.45,23.11
11, , , ,0.57,24.38
12, , , ,0.65,25.49
13, , , ,0.42,27.07
14, , , ,0.17,29.07
15, , , ,0.05,31.2
16, , , ,0.12,32.44
17, , , ,0.07,33.87
18, , , ,0.16,35
19, , , ,0.21,36.27
20, , , ,0.32,37.35
21, , , ,0.43,38.9
22, , , ,0.56,40.21
23, , , ,0.45,41.54
24, , , ,0.68,42.67
25, , , ,0.9,43.95
26, , , ,0.95,45.48
27, , , ,2.26,46.29
28, , , ,2.22,46.87
29, , , ,2.2,47.72
30, , , ,2.63,50.39
31, , , ,2.89,56.27
32, , , ,2.8,58.88
33, , , ,2.89,60.36
34, , , ,4.04,61.92
35, , , ,2.87,66.48
36, , , ,2.76,70.75
断面名称,长CHG-4, , ,测量水位,1.47
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.03,0
2, , , ,1.84,10.31
3, , , ,2.83,10.56
4, , , ,3.16,12.1
5, , , ,3.72,13.89
6, , , ,3.79,15.27
7, , , ,3.77,16.04
8, , , ,2.38,16.69
9, , , ,-0.5,19.38
10, , , ,-0.4,21.95
11, , , ,-0.41,22.22
12, , , ,-0.45,24.62
13, , , ,-0.41,27
14, , , ,-0.41,29.25
15, , , ,-0.59,31.96
16, , , ,-0.64,34.9
17, , , ,-0.59,37.85
18, , , ,-0.32,40.5
