断面名称,长LCG-1, , .1,测量水位,1.03
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.271,0
2, , , ,2.361,4.13
3, , , ,0.742,9.14
4, , , ,0.722,13.97
5, , , ,-1.158,17.43
6, , , ,-1.508,18.47
7, , , ,-1.888,21.28
8, , , ,-1.908,23.64
9, , , ,-1.738,26.48
10, , , ,-1.568,29.44
11, , , ,-1.128,32.05
12, , , ,-0.398,34.91
13, , , ,-0.068,36.87
14, , , ,0.752,43.1
15, , , ,1.653,43.9
16, , , ,2.023,49.82
17, , , ,3.033,50.02
18, , , ,6.053,56.49
19, , , ,6.183,62.67
20, , , ,5.113,65.41
21, , , ,4.343,65.58
22, , , ,3.913,74.79
断面名称,长LCG-2, , ,测量水位,1.02
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.302,0
2, , , ,4.112,2.97
3, , , ,5.022,3.16
4, , , ,6.222,6.2
5, , , ,6.122,12.36
6, , , ,3.102,18.39
7, , , ,2.062,18.54
8, , , ,2.043,28.51
9, , , ,1.023,30.44
10, , , ,-0.267,34.34
11, , , ,-0.037,34.57
12, , , ,-0.567,36.98
13, , , ,-0.897,40.11
14, , , ,-0.947,42.87
15, , , ,-0.757,44.94
16, , , ,-0.557,47.29
17, , , ,-0.307,49.97
18, , , ,-0.347,53.45
19, , , ,-0.247,55.93
20, , , ,-0.187,60.02
21, , , ,2.713,64.84
22, , , ,2.894,65.64
23, , , ,6.414,75.6
24, , , ,6.444,81.73
25, , , ,3.814,86.25
26, , , ,3.474,90.33
断面名称,长LCG-3, , ,测量水位,1.01
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.873,0
2, , , ,2.174,0.61
3, , , ,5.754,5.73
4, , , ,5.684,5.77
5, , , ,6.054,12.43
6, , , ,4.114,14.44
7, , , ,1.625,48.23
8, , , ,2.475,49.54
9, , , ,1.095,50.61
10, , , ,-0.745,54.84
11, , , ,-0.695,57.04
12, , , ,-0.795,61.02
