里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
491.99 	长CHBX-1	2.95 	3.84 	-1.39 
2003.57 	长CHBX-2	4.02 	3.56 	-1.20 
3362.15 	长CHBX-3	3.40 	3.78 	-0.88 
3795.60 	长CHBX-4	3.63 	3.21 	-0.39 
4103.32 	长CHBX-5	3.65 	3.69 	-1.32 
4551.40 	长CHBX-6	3.74 	3.00 	-0.12 
4894.90 	长CHBX-7	3.25 	2.92 	-0.97 
5408.40 	长CHBX-8	3.37 	3.31 	-1.33 
5894.87 	长CHBX-9	3.69 	3.28 	-1.12 
6248.13 	长CHBX-10	3.40 	3.76 	-1.40 
6772.86 	长CHBX-11	3.23 	3.24 	-1.29 
7826.71 	长CHBX-12	3.72 	4.13 	-0.55 
8164.07 	长CHBX-13	4.09 	4.31 	-1.82 
9038.23 	长CHBX-14	4.32 	4.23 	-1.93 
9807.74 	长CHBX-15	3.86 	4.20 	-2.11 
10391.48 	长CHBX-16	3.30 	3.43 	-2.13 
10989.76 	长CHBX-17	3.66 	3.04 	-1.77 
11576.34 	长CHBX-18	4.24 	4.53 	-1.37 
12103.82 	长CHBX-19	4.18 	3.55 	-1.09 
13110.19 	长CHBX-20	3.93 	4.08 	-0.34 
14027.83 	长CHBX-21	4.09 	4.06 	-0.24 
14780.31 	长CHBX-22	3.42 	4.44 	-0.52 
15360.57 	长CHBX-23	4.00 	4.28 	-0.45 
16219.68 	长CHBX-24	2.40 	4.07 	-0.27 
17115.77 	长CHBX-25	3.75 	3.82 	-0.78 
17575.03 	长CHBX-26	4.77 	3.87 	-0.81 
18043.61 	长CHBX-27	4.49 	4.21 	-0.72 
19431.05 	长CHBX-28	5.32 	4.24 	-1.47 
