里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
261.10 	长CXG-1	5.77 	7.36 	-2.36 
1069.15 	长CXG-2	5.42 	5.40 	-3.86 
1970.47 	长CXG-3	8.32 	8.88 	-2.49 
2874.54 	长CXG-4	6.75 	5.23 	-2.26 
3748.44 	长CXG-5	5.68 	7.37 	-2.29 
5470.63 	长CXG-6	3.50 	3.73 	-2.34 
6174.89 	长CXG-7	4.53 	4.99 	-2.01 
7258.06 	长CXG-8	4.65 	4.62 	-2.25 
8127.69 	长CXG-9	5.07 	4.18 	-2.07 
9205.08 	长CXG-10	5.14 	5.07 	-2.29 
10045.24 	长CXG-11	4.75 	4.56 	-2.04 
11079.41 	长CXG-12	6.47 	4.24 	-2.28 
12073.18 	长CXG-13	6.78 	6.40 	-1.33 
12736.07 	长CXG-14	5.90 	4.43 	-2.06 
13560.15 	长CXG-15	4.12 	3.62 	-1.07 
14824.06 	长CXG-16	5.02 	3.35 	-2.07 
17241.35 	长CXG-17	4.40 	4.14 	-2.24 
17975.17 	长CXG-18	3.83 	4.24 	-2.36 
18736.07 	长CXG-19	3.53 	4.47 	-2.49 
